Name,COORDS
000000000036.jpg,[228 157 532 971]
000000000049.jpg,[0 0 0 0]
000000000061.jpg,[0 0 0 0]
000000000074.jpg,[0 0 0 0]
000000000077.jpg,[ -3 243  79 487]
000000000086.jpg,[143 123 284 459]
000000000109.jpg,[0 0 0 0]
000000000110.jpg,[117  13 521 816]
000000000113.jpg,[213  49 402 570]
000000000136.jpg,[0 0 0 0]
000000000149.jpg,[0 0 0 0]
000000000151.jpg,[200 137 253 351]
000000000165.jpg,[-14  49 236 781]
000000000192.jpg,[0 0 0 0]
000000000201.jpg,[0 0 0 0]
000000000241.jpg,[139   3 334 552]
000000000257.jpg,[ 93 407 149 566]
000000001200.jpg,[0 0 0 0]
000000001204.jpg,[0 0 0 0]
000000001216.jpg,[ 30  65  72 299]
000000001232.jpg,[0 0 0 0]
000000001237.jpg,[0 0 0 0]
000000001244.jpg,[0 0 0 0]
000000001270.jpg,[  2 162 106 445]
000000001271.jpg,[ 75  76 208 449]
000000001290.jpg,[0 0 0 0]
000000001292.jpg,[107  77 340 740]
000000001295.jpg,[0 0 0 0]
000000001298.jpg,[ 96  16 434 530]
000000001307.jpg,[0 0 0 0]
000000001308.jpg,[149 148 289 330]
000000001311.jpg,[0 0 0 0]
000000001315.jpg,[124 133 379 499]
000000001319.jpg,[0 0 0 0]
000000001330.jpg,[ 30 194 317 494]
000000001332.jpg,[0 0 0 0]
000000002089.jpg,[508 413 520 540]
000000002114.jpg,[0 0 0 0]
000000002124.jpg,[0 0 0 0]
000000002135.jpg,[ 43 234 288 434]
000000002142.jpg,[193  61 303 445]
000000002154.jpg,[0 0 0 0]
000000002171.jpg,[0 0 0 0]
000000002179.jpg,[0 0 0 0]
000000002184.jpg,[320 266 364 512]
000000002191.jpg,[170 108 221 386]
000000002211.jpg,[219  51 297 332]
000000002225.jpg,[-678   30  442  680]
000000002229.jpg,[0 0 0 0]
000000002235.jpg,[ 79  70 337 639]
000000002239.jpg,[ 27 168 255 888]
000000002258.jpg,[0 0 0 0]
000000002278.jpg,[112  51 235 138]
000000002281.jpg,[382  20 536  94]
000000002302.jpg,[0 0 0 0]
000000002369.jpg,[0 0 0 0]
000000002372.jpg,[ 123  135  412 1199]
000000002377.jpg,[0 0 0 0]
000000002400.jpg,[ 99  39 245 530]
000000002402.jpg,[387 122 455 350]
000000002415.jpg,[ 28 125 127 399]
000000002444.jpg,[0 0 0 0]
000000002445.jpg,[ 49 329 122 533]
000000002446.jpg,[152  80 495 412]
000000002466.jpg,[146  54 329 383]
000000002470.jpg,[348 109 464 249]
000000002477.jpg,[ -5 103 288 635]
000000003048.jpg,[ 38 167 298 438]
000000003076.jpg,[0 0 0 0]
000000003077.jpg,[379 101 501 545]
000000003091.jpg,[0 0 0 0]
000000003103.jpg,[ 54  29 438 393]
000000003109.jpg,[247 223 349 482]
000000003118.jpg,[162  78 391 529]
000000003124.jpg,[149  38 253 422]
000000003125.jpg,[0 0 0 0]
000000003134.jpg,[0 0 0 0]
000000003145.jpg,[0 0 0 0]
000000003157.jpg,[118  65 344 568]
000000003160.jpg,[305 265 348 506]
000000003197.jpg,[263 266 384 455]
000000003209.jpg,[0 0 0 0]
000000003220.jpg,[0 0 0 0]
000000003225.jpg,[  69  182  580 1200]
000000003236.jpg,[0 0 0 0]
000000003242.jpg,[301 121 445 502]
000000003272.jpg,[-24 243 333 833]
000000003276.jpg,[247 292 319 693]
000000003293.jpg,[160 168 227 477]
000000003310.jpg,[ 51 111 411 784]
000000003320.jpg,[120 261 175 541]
000000000260.jpg,[0 0 0 0]
000000000510.jpg,[211 167 325 482]
000000000831.jpg,[278 122 437 260]
000000001183.jpg,[-10  19 143 595]
000000001342.jpg,[0 0 0 0]
000000001548.jpg,[114  82 185 375]
000000001785.jpg,[-73 435  15 500]
000000002083.jpg,[213 158 407 557]
000000002498.jpg,[331 222 393 420]
000000002693.jpg,[355 118 460 505]
000000003008.jpg,[0 0 0 0]
000000003325.jpg,[0 0 0 0]
000000003735.jpg,[0 0 0 0]
000000003964.jpg,[0 0 0 0]
000000004180.jpg,[130 119 387 634]
000000004376.jpg,[140 259 311 473]
000000004574.jpg,[0 0 0 0]
000000004741.jpg,[257 304 351 494]
